,ETF,Buy_Date,Sell_Date,Buy_Price,Sell_Price,Quantity,Profit
113,512400.XSHG,2021-06-11,2021-06-15 10:30:00,1.163,1.126,2600,-96.20000000000037
114,159852.XSHE,2021-06-17,2021-06-18 11:30:00,1.084,1.073,2700,-29.700000000000326
115,512660.XSHG,2021-06-17,2021-06-18 11:30:00,1.111,1.1320000000000001,2700,56.70000000000035
116,515030.XSHG,2021-06-17,2021-06-21 11:30:00,1.849,1.9409999999999998,1600,147.19999999999976
117,515790.XSHG,2021-06-17,2021-06-25 11:30:00,1.155,1.2819999999999998,2700,342.8999999999994
118,159869.XSHE,2021-06-18,2021-06-22 10:30:00,0.988,1.002,3000,42.000000000000036
119,159930.XSHE,2021-06-22,2021-06-24 14:00:00,0.77,0.784,3900,54.60000000000005
120,159852.XSHE,2021-06-28,2021-07-01 15:00:00,1.077,1.097,2900,58.00000000000005
121,159870.XSHE,2021-07-05,2021-07-06 14:00:00,0.977,0.992,3200,48.00000000000004
122,515880.XSHG,2021-07-05,2021-07-14 15:00:00,1.014,1.032,3100,55.80000000000005
123,159852.XSHE,2021-07-12,2021-07-16 15:00:00,1.124,1.11,2800,-39.20000000000003
124,159825.XSHE,2021-07-13,2021-07-14 15:00:00,0.956,0.946,3300,-33.00000000000003
125,515880.XSHG,2021-07-19,2021-07-22 10:30:00,1.035,1.014,3000,-62.99999999999972
126,512480.XSHG,2021-07-20,2021-07-26 11:30:00,1.318,1.41,2400,220.79999999999967
127,159870.XSHE,2021-07-29,2021-07-30 10:30:00,1.056,1.043,3000,-39.00000000000037
128,512660.XSHG,2021-07-29,2021-08-03 10:30:00,1.208,1.258,2600,130.0000000000001
129,515030.XSHG,2021-07-29,2021-08-02 11:30:00,2.378,2.384,1300,7.799999999999718
130,159930.XSHE,2021-07-30,2021-08-02 10:30:00,0.772,0.747,4200,-105.0000000000001
131,159870.XSHE,2021-08-02,2021-08-03 10:30:00,1.09,1.069,2900,-60.900000000000375
132,159930.XSHE,2021-08-04,2021-08-10 14:00:00,0.764,0.786,4200,92.40000000000008
133,512400.XSHG,2021-08-04,2021-08-05 11:30:00,1.425,1.407,2200,-39.60000000000004
134,515030.XSHG,2021-08-04,2021-08-05 10:30:00,2.568,2.53,1200,-45.60000000000031
135,512400.XSHG,2021-08-19,2021-08-20 11:30:00,1.4240000000000002,1.406,2200,-39.60000000000052
136,516110.XSHG,2021-08-19,2021-08-20 10:30:00,1.26,1.239,2500,-52.49999999999977
137,515790.XSHG,2021-08-20,2021-08-26 15:00:00,1.609,1.754,1900,275.50000000000006
138,159870.XSHE,2021-08-23,2021-08-30 14:00:00,1.0759999999999998,1.107,3000,93.00000000000041
139,159930.XSHE,2021-08-23,2021-09-03 10:30:00,0.8059999999999999,0.948,4000,568.0000000000001
140,159996.XSHE,2021-08-23,2021-08-26 10:30:00,1.347,1.317,2400,-72.00000000000006
141,512200.XSHG,2021-08-31,2021-09-03 11:30:00,0.765,0.801,4200,151.20000000000013
142,512880.XSHG,2021-08-31,2021-09-03 14:00:00,1.13,1.191,2900,176.9000000000005
143,512800.XSHG,2021-09-01,2021-09-09 11:30:00,1.156,1.179,2800,64.40000000000038
144,159870.XSHE,2021-09-06,2021-09-09 11:30:00,1.1,1.155,3200,175.9999999999998
145,516110.XSHG,2021-09-06,2021-09-08 10:30:00,1.296,1.316,2700,54.00000000000005
146,515030.XSHG,2021-09-07,2021-09-08 14:00:00,2.4930000000000003,2.457,1400,-50.40000000000067
147,516110.XSHG,2021-09-14,2021-09-15 10:30:00,1.289,1.275,2700,-37.80000000000003
148,515790.XSHG,2021-09-15,2021-09-16 10:30:00,1.767,1.721,2000,-91.99999999999963
149,159928.XSHE,2021-09-17,2021-09-22 10:30:00,1.049,1.021,3300,-92.40000000000008
150,515030.XSHG,2021-09-17,2021-09-22 10:30:00,2.481,2.442,1400,-54.59999999999958
151,512200.XSHG,2021-09-22,2021-09-24 11:30:00,0.793,0.807,4300,60.20000000000005
152,159928.XSHE,2021-09-23,2021-09-28 10:30:00,1.038,1.105,3300,221.09999999999982
153,512980.XSHG,2021-09-23,2021-09-27 11:30:00,0.72,0.705,4900,-73.50000000000007
154,159930.XSHE,2021-09-28,2021-09-29 10:30:00,1.069,1.033,3300,-118.80000000000011
155,512200.XSHG,2021-09-28,2021-09-29 15:00:00,0.803,0.793,4300,-43.000000000000036
156,159825.XSHE,2021-09-30,2021-10-11 10:30:00,0.949,0.974,3600,90.00000000000009
157,159852.XSHE,2021-09-30,2021-10-12 14:00:00,1.031,1.019,3400,-40.80000000000004
158,159852.XSHE,2021-10-13,2021-10-18 10:30:00,1.029,1.031,3400,6.800000000000006
159,159825.XSHE,2021-10-18,2021-10-20 10:30:00,0.96,0.981,3600,75.60000000000007
160,159996.XSHE,2021-10-21,2021-10-25 10:30:00,1.215,1.23,2900,43.499999999999716
161,159852.XSHE,2021-10-28,2021-11-01 10:30:00,1.035,1.054,3400,64.60000000000043
162,159928.XSHE,2021-10-28,2021-11-08 10:30:00,1.154,1.187,3000,99.00000000000043
163,159766.XSHE,2021-10-29,2021-11-01 10:30:00,0.994,0.962,3500,-112.0000000000001
164,159825.XSHE,2021-10-29,2021-11-03 14:00:00,0.994,1.022,3600,100.8000000000001
165,159996.XSHE,2021-11-01,2021-11-02 14:00:00,1.238,1.22,2800,-50.40000000000005
166,512800.XSHG,2021-11-01,2021-11-02 10:30:00,1.187,1.17,3000,-51.00000000000038
167,515790.XSHG,2021-11-08,2021-11-12 11:30:00,1.791,1.826,1900,66.50000000000027
168,159996.XSHE,2021-11-11,2021-11-16 15:00:00,1.232,1.251,2900,55.099999999999724
169,515790.XSHG,2021-11-12,2021-11-15 10:30:00,1.829,1.778,1900,-96.89999999999988
170,159928.XSHE,2021-11-15,2021-11-24 15:00:00,1.168,1.189,3000,63.00000000000039
171,159825.XSHE,2021-11-22,2021-11-24 10:30:00,1.005,0.983,3500,-76.99999999999967
172,512170.XSHG,2021-11-24,2021-12-02 10:30:00,0.711,0.701,4900,-49.00000000000004
173,159928.XSHE,2021-11-29,2021-11-30 10:30:00,1.182,1.168,3000,-42.000000000000036
174,159930.XSHE,2021-12-01,2021-12-06 11:30:00,0.875,0.91,4000,140.0000000000001
175,512880.XSHG,2021-12-01,2021-12-09 15:00:00,1.123,1.193,3100,217.0000000000002
176,159928.XSHE,2021-12-03,2021-12-09 15:00:00,1.2,1.241,2900,118.90000000000043
177,159870.XSHE,2021-12-08,2021-12-13 14:00:00,1.024,1.054,3500,105.0000000000001
178,512480.XSHG,2021-12-08,2021-12-10 10:30:00,1.376,1.357,2600,-49.39999999999976
179,515030.XSHG,2021-12-10,2021-12-13 10:30:00,2.602,2.575,1400,-37.79999999999957
180,512800.XSHG,2021-12-15,2021-12-27 11:30:00,1.149,1.134,3100,-46.500000000000384
181,159766.XSHE,2021-12-21,2021-12-24 10:30:00,0.954,0.943,3800,-41.80000000000004
182,159996.XSHE,2021-12-21,2021-12-23 10:30:00,1.244,1.231,2900,-37.69999999999971
183,515880.XSHG,2021-12-21,2021-12-29 11:30:00,1.113,1.1,3400,-44.19999999999966
184,159852.XSHE,2021-12-23,2021-12-27 14:00:00,1.075,1.063,3300,-39.60000000000004
185,159996.XSHE,2021-12-27,2021-12-29 10:30:00,1.245,1.258,2800,36.39999999999972
186,512880.XSHG,2021-12-28,2021-12-29 15:00:00,1.169,1.155,3000,-42.000000000000036
187,159869.XSHE,2021-12-30,2022-01-05 14:00:00,1.096,1.144,3200,153.59999999999943
188,512880.XSHG,2021-12-30,2022-01-05 10:30:00,1.174,1.161,3000,-38.9999999999997
189,515880.XSHG,2021-12-30,2022-01-05 14:00:00,1.119,1.104,3200,-47.99999999999969
190,512980.XSHG,2022-01-12,2022-01-13 11:30:00,0.843,0.834,4200,-37.80000000000003
191,159869.XSHE,2022-01-17,2022-01-18 10:30:00,1.107,1.095,3200,-38.400000000000034
192,512200.XSHG,2022-01-17,2022-01-18 14:00:00,0.821,0.834,4400,57.20000000000005
193,512980.XSHG,2022-01-17,2022-01-18 11:30:00,0.86,0.849,4200,-46.20000000000004
194,159996.XSHE,2022-01-18,2022-01-21 11:30:00,1.272,1.259,2800,-36.40000000000035
195,159869.XSHE,2022-01-19,2022-01-20 10:30:00,1.109,1.087,3200,-70.40000000000006
196,512980.XSHG,2022-01-19,2022-01-20 10:30:00,0.849,0.834,4200,-63.00000000000006
197,513050.XSHG,2022-01-20,2022-01-24 10:30:00,1.317,1.286,2700,-83.69999999999978
198,159766.XSHE,2022-01-28,2022-02-07 10:30:00,1.048,1.034,3300,-46.20000000000004
199,512800.XSHG,2022-02-07,2022-02-11 15:00:00,1.195,1.228,2900,95.69999999999976
200,512800.XSHG,2022-02-16,2022-02-24 10:30:00,1.199,1.186,2900,-37.70000000000036
201,159611.XSHE,2022-02-25,2022-03-08 10:30:00,0.938,0.925,3700,-48.09999999999963
202,159928.XSHE,2022-03-01,2022-03-02 14:00:00,1.135,1.121,3100,-43.40000000000004
203,159611.XSHE,2022-03-10,2022-03-11 10:30:00,0.94,0.913,3700,-99.89999999999968
204,515790.XSHG,2022-03-16,2022-03-18 10:30:00,1.535,1.499,2200,-79.19999999999958
205,515030.XSHG,2022-04-01,2022-04-06 10:30:00,1.966,1.918,1700,-81.60000000000008
206,512880.XSHG,2022-04-08,2022-04-11 10:30:00,0.966,0.946,3500,-70.00000000000006
207,159766.XSHE,2022-04-12,2022-04-13 10:30:00,1.023,1.005,3300,-59.400000000000055
208,159996.XSHE,2022-04-12,2022-04-13 15:00:00,0.986,0.972,3400,-47.600000000000044
209,512170.XSHG,2022-04-12,2022-04-13 10:30:00,0.546,0.538,6400,-51.200000000000045
210,512880.XSHG,2022-04-12,2022-04-13 11:30:00,0.967,0.956,3600,-39.60000000000004
211,159825.XSHE,2022-04-18,2022-04-19 14:00:00,0.977,0.992,3400,51.00000000000004
212,512800.XSHG,2022-04-22,2022-04-25 10:30:00,1.164,1.132,2900,-92.80000000000008
213,159928.XSHE,2022-04-27,2022-05-06 10:30:00,1.01,0.989,3300,-69.30000000000007
214,513050.XSHG,2022-05-13,2022-05-19 10:30:00,1.004,1.009,3300,16.49999999999965
215,512170.XSHG,2022-05-20,2022-05-24 10:30:00,0.518,0.509,6400,-57.60000000000005
216,159619.XSHE,2022-05-25,2022-05-26 15:00:00,0.88,0.897,3700,62.900000000000055
217,159825.XSHE,2022-05-25,2022-06-07 14:00:00,0.917,0.935,3600,64.80000000000005
218,159852.XSHE,2022-05-25,2022-06-01 14:00:00,0.695,0.735,4900,196.00000000000017
219,159869.XSHE,2022-05-25,2022-05-30 11:30:00,0.767,0.759,4400,-35.20000000000003
220,159996.XSHE,2022-05-26,2022-05-31 14:00:00,1.002,1.021,3300,62.69999999999969
221,159996.XSHE,2022-06-10,2022-06-13 10:30:00,1.028,1.014,3300,-46.20000000000004
222,159766.XSHE,2022-06-14,2022-06-21 11:30:00,0.906,0.96,3700,199.79999999999976
223,512800.XSHG,2022-06-14,2022-06-15 15:00:00,1.108,1.126,3100,55.79999999999936
224,512480.XSHG,2022-06-16,2022-06-17 10:30:00,0.963,0.949,3500,-49.00000000000004
225,159619.XSHE,2022-06-23,2022-07-05 11:30:00,0.907,0.923,3800,60.800000000000054
226,512660.XSHG,2022-06-23,2022-06-24 11:30:00,1.145,1.167,3000,66.00000000000006
227,515880.XSHG,2022-06-23,2022-06-24 14:00:00,0.883,0.9,3900,66.30000000000005
228,513050.XSHG,2022-07-04,2022-07-06 14:00:00,1.181,1.165,2900,-46.40000000000004
229,159619.XSHE,2022-07-07,2022-07-12 11:30:00,0.915,0.93,3800,57.00000000000005
230,516110.XSHG,2022-07-07,2022-07-08 14:00:00,1.265,1.244,2700,-56.69999999999975
231,512800.XSHG,2022-07-12,2022-07-13 10:30:00,1.119,1.098,3100,-65.09999999999971
232,512010.XSHG,2022-07-14,2022-07-15 14:00:00,0.542,0.536,6400,-38.400000000000034
233,512170.XSHG,2022-07-14,2022-07-15 15:00:00,0.577,0.564,6000,-78.00000000000007
234,512660.XSHG,2022-07-14,2022-07-15 15:00:00,1.181,1.161,2900,-58.00000000000005
235,515030.XSHG,2022-07-14,2022-07-18 10:30:00,2.368,2.296,1500,-108.0000000000001
236,159619.XSHE,2022-07-18,2022-07-22 11:30:00,0.927,0.916,3600,-39.60000000000004
237,159930.XSHE,2022-07-18,2022-07-21 10:30:00,1.12,1.098,3000,-66.00000000000006
238,515880.XSHG,2022-07-18,2022-07-21 11:30:00,0.927,0.952,3700,92.49999999999967
239,512660.XSHG,2022-07-19,2022-07-21 10:30:00,1.17,1.199,3000,87.00000000000041
240,515790.XSHG,2022-07-22,2022-07-25 10:30:00,1.726,1.693,1900,-62.69999999999985
241,515790.XSHG,2022-07-27,2022-08-02 10:30:00,1.759,1.737,1900,-41.79999999999961
242,516110.XSHG,2022-07-27,2022-07-29 15:00:00,1.232,1.254,2800,61.60000000000005
243,512660.XSHG,2022-08-03,2022-08-04 10:30:00,1.226,1.207,2700,-51.29999999999975
244,515880.XSHG,2022-08-03,2022-08-10 10:30:00,0.929,0.966,3700,136.89999999999972
245,159852.XSHE,2022-08-05,2022-08-09 14:00:00,0.819,0.81,4100,-36.89999999999958
246,159869.XSHE,2022-08-05,2022-08-10 10:30:00,0.79,0.782,4300,-34.400000000000034
247,515790.XSHG,2022-08-15,2022-08-16 15:00:00,1.796,1.825,1900,55.09999999999984
248,159852.XSHE,2022-08-17,2022-08-19 10:30:00,0.796,0.785,4300,-47.30000000000004
249,159870.XSHE,2022-08-22,2022-08-24 10:30:00,0.904,0.891,3700,-48.100000000000044
250,512400.XSHG,2022-08-22,2022-08-23 10:30:00,1.293,1.276,2600,-44.19999999999975
251,512660.XSHG,2022-08-22,2022-08-24 10:30:00,1.227,1.189,2800,-106.40000000000009
252,513050.XSHG,2022-08-25,2022-09-01 15:00:00,1.078,1.065,3100,-40.30000000000038
253,159619.XSHE,2022-08-29,2022-08-31 10:30:00,0.888,0.875,3800,-49.40000000000004
254,159869.XSHE,2022-08-30,2022-09-01 10:30:00,0.819,0.806,4100,-53.29999999999959
255,512980.XSHG,2022-08-30,2022-09-01 14:00:00,0.606,0.599,5700,-39.900000000000034
256,159869.XSHE,2022-09-02,2022-09-05 10:30:00,0.819,0.799,4000,-79.99999999999963
257,159611.XSHE,2022-09-05,2022-09-07 11:30:00,0.935,0.953,3500,62.999999999999666
258,159825.XSHE,2022-09-06,2022-09-07 10:30:00,0.988,0.977,3300,-36.30000000000003
259,512800.XSHG,2022-09-08,2022-09-14 11:30:00,1.051,1.071,3100,62.00000000000006
260,513050.XSHG,2022-09-09,2022-09-14 10:30:00,1.047,1.028,3100,-58.89999999999971
261,512200.XSHG,2022-09-21,2022-09-22 10:30:00,0.764,0.75,4300,-60.20000000000005
262,512800.XSHG,2022-09-21,2022-09-26 14:00:00,1.057,1.046,3100,-34.09999999999969
263,512660.XSHG,2022-09-22,2022-09-26 10:30:00,1.182,1.162,2800,-56.00000000000005
264,159766.XSHE,2022-09-26,2022-09-28 10:30:00,0.985,1.027,3300,138.59999999999977
265,159611.XSHE,2022-10-21,2022-10-24 10:30:00,0.895,0.885,3700,-37.000000000000036
266,159611.XSHE,2022-10-25,2022-10-27 11:30:00,0.88,0.87,3700,-37.000000000000036
267,515790.XSHG,2022-10-25,2022-10-27 15:00:00,1.522,1.548,2100,54.60000000000005
268,512010.XSHG,2022-10-26,2022-10-27 10:30:00,0.469,0.459,7200,-71.99999999999966
269,515880.XSHG,2022-10-31,2022-11-01 11:30:00,0.861,0.852,3800,-34.20000000000003
270,159619.XSHE,2022-11-01,2022-11-08 10:30:00,0.821,0.834,4000,52.00000000000004
271,512010.XSHG,2022-11-01,2022-11-02 15:00:00,0.464,0.471,7100,49.69999999999965
272,512170.XSHG,2022-11-01,2022-11-02 15:00:00,0.496,0.504,6600,52.80000000000005
273,515790.XSHG,2022-11-01,2022-11-03 11:30:00,1.542,1.567,2100,52.499999999999815
