,ETF,Buy_Date,Sell_Date,Buy_Price,Sell_Price,Quantity,Profit
182,515790.XSHG,2022-08-15,2022-08-25 11:30:00,1.796,1.74,2200,-123.2000000000001
183,159852.XSHE,2022-08-17,2022-08-24 10:30:00,0.796,0.771,5000,-125.00000000000011
184,159870.XSHE,2022-08-22,2022-08-25 10:30:00,0.904,0.866,4400,-167.20000000000016
185,513050.XSHG,2022-08-25,2022-09-05 10:30:00,1.078,1.044,3500,-119.0000000000001
186,159619.XSHE,2022-08-29,2022-09-16 15:00:00,0.888,0.855,4300,-141.90000000000012
187,512980.XSHG,2022-08-30,2022-09-07 11:30:00,0.606,0.587,6400,-121.60000000000011
188,159611.XSHE,2022-09-05,2022-09-16 11:30:00,0.935,0.905,3900,-117.0000000000001
189,512800.XSHG,2022-09-08,2022-10-12 10:30:00,1.051,1.019,3600,-115.2000000000001
190,512200.XSHG,2022-09-21,2022-09-26 15:00:00,0.764,0.736,4700,-131.6000000000001
191,512660.XSHG,2022-09-22,2022-09-26 15:00:00,1.182,1.139,3100,-133.29999999999978
192,159766.XSHE,2022-09-26,2022-10-10 14:00:00,0.985,0.953,3600,-115.2000000000001
193,159611.XSHE,2022-10-21,2022-10-27 14:00:00,0.895,0.868,3900,-105.3000000000001
194,515790.XSHG,2022-10-25,2022-10-31 14:00:00,1.522,1.474,2300,-110.40000000000009
195,512010.XSHG,2022-10-26,2022-10-28 14:00:00,0.469,0.454,7700,-115.49999999999967
196,515880.XSHG,2022-10-31,2022-11-28 10:30:00,0.861,0.834,4000,-108.0000000000001
197,159619.XSHE,2022-11-01,2022-11-24 10:30:00,0.821,0.881,4200,252.00000000000023
198,512010.XSHG,2022-11-01,2023-01-06 10:30:00,0.464,0.489,7500,187.49999999999974
199,512170.XSHG,2022-11-01,2022-11-16 14:00:00,0.496,0.522,7100,184.60000000000016
200,512400.XSHG,2022-11-21,2022-12-20 14:00:00,1.125,1.085,3300,-132.0000000000001
201,159870.XSHE,2022-11-24,2022-12-22 15:00:00,0.777,0.752,4700,-117.5000000000001
202,159869.XSHE,2022-11-29,2022-12-19 14:00:00,0.767,0.742,4400,-110.0000000000001
203,513050.XSHG,2022-12-22,2023-01-06 14:00:00,1.058,1.121,3200,201.59999999999982
204,159766.XSHE,2022-12-30,2023-01-12 11:30:00,1.129,1.093,3100,-111.6000000000001
205,159928.XSHE,2022-12-30,2023-01-16 15:00:00,1.044,1.119,3300,247.49999999999986
206,159619.XSHE,2023-01-13,2023-02-15 10:30:00,0.866,0.926,4100,246.00000000000023
207,512660.XSHG,2023-01-16,2023-01-30 15:00:00,1.079,1.143,3300,211.2000000000002
208,159611.XSHE,2023-01-20,2023-05-05 10:30:00,0.874,0.928,4100,221.4000000000002
209,512200.XSHG,2023-01-20,2023-03-07 14:00:00,0.737,0.713,5000,-120.00000000000011
210,159996.XSHE,2023-02-07,2023-03-20 10:30:00,1.103,1.064,3400,-132.59999999999974
211,159852.XSHE,2023-02-20,2023-03-20 14:00:00,0.945,0.992,4000,188.00000000000017
